INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKR-136986,40717,2024-06-18 00:00:00,44178,44178.079999999994,40717.12442396313,21.423652978935902
VKR-136987,39997,2024-06-18 00:00:00,43397,43396.88,39997.124423963134,21.3346037248575
VKR-136988,15210,2024-06-18 00:00:00,16503,16502.9257,15210.069769585254,24.1176605343058
VKR-136989,15210,2024-06-18 00:00:00,16503,16502.8498,15209.999815668203,23.911897427502698
VKR-136990,2240,2024-06-18 00:00:00,2430,2430.4,2240,0.15359998425309998
VKR-136991,16908,2024-06-18 00:00:00,18346,18345.5248,16908.317788018434,7.5315611095725
VKR-136992,28098,2024-06-18 00:00:00,30486,30486.4584,28098.118341013826,13.869335140160501
VKR-136993,2501,2024-06-18 00:00:00,2714,2713.9783,2501.362488479263,3.146978503823
VKR-136994,2275,2024-06-18 00:00:00,2468,2468.375,2275,0.00045359237000000004
VKR-136995,31962,2024-06-18 00:00:00,34679,34678.5466,31961.79410138249,14.7764745209235
VKR-136996,10612,2024-06-18 00:00:00,11514,11513.83,10611.824884792626,4.7851953869335
VKR-136997,635,2024-06-18 00:00:00,688,688.4325,634.5,0.7285328491517999
VKR-136998,560,2024-06-18 00:00:00,608,607.6,560,0.0384011300442
VKR-136999,35763,2024-06-18 00:00:00,38803,38802.8544,35762.99944700461,19.4820508391509
VKR-137000,3172,2024-06-18 00:00:00,3442,3442.1624,3172.4999078341016,3.6466649304624004
VKR-137001,11252,2024-06-18 00:00:00,12208,12208.2028,11251.799815668202,4.7083477676081005
